,Fold-change,p-value,%_group,%_rest,chromosome,start,end,p-bh,p-bonferroni
SRI,0.9543491,0.18718364303481322,0.7225806451612903,0.7529411764705882,chr7,88205115,88226993,0.981840717599211,1280.5233020011572
SAMD8,0.79251593,0.32519709679571407,0.14623655913978495,0.15588235294117647,chr10,75099586,75182123,0.981840717599211,2224.67333917948
TMF1,1.0123215,0.5189773362628021,0.24516129032258063,0.23676470588235293,chr3,69019827,69052339,0.981840717599211,3550.3239573738288
MIPOL1,0.91795456,0.5175268876166946,0.10752688172043011,0.10441176470588236,chr14,37197913,37552361,0.981840717599211,3540.401438185808
PAPOLA,1.0182934,0.4404381809957387,0.6408602150537634,0.638235294117647,chr14,96501433,96567116,0.981840717599211,3013.0375961918485
RSPRY1,1.0381315,0.6513196263091839,0.13118279569892474,0.11470588235294117,chr16,57186137,57240469,0.981840717599211,4455.677563581127
SUDS3,1.031157,0.5971013765851981,0.16989247311827957,0.16176470588235295,chr12,118376555,118418033,0.981840717599211,4084.7705172193405
SIN3B,0.8989556,0.48149403292351783,0.11827956989247312,0.11911764705882352,chr19,16829398,16880353,0.981840717599211,3293.9006792297855
PKP4,0.9558305,0.29168125138190726,0.23225806451612904,0.2514705882352941,chr2,158456952,158682879,0.981840717599211,1995.3914407036275
ZNF33A,1.2381215,0.7292760861722223,0.15483870967741936,0.13676470588235295,chr10,38010650,38065088,0.981840717599211,4988.977705504172
PRDX5,0.9962861,0.7441848853312168,0.9290322580645162,0.8970588235294118,chr11,64318121,64321811,0.981840717599211,5090.968800550854
ZNF146,1.0435354,0.8155440100742664,0.43870967741935485,0.40588235294117647,chr19,36214602,36238771,0.981840717599211,5579.136572918056
PSMA3,1.0297167,0.8851165723048439,0.6946236559139785,0.6514705882352941,chr14,58244843,58272012,0.981840717599211,6055.082471137437
BMI1,0.8749441,0.14982598535980163,0.3139784946236559,0.34558823529411764,chr10,22321099,22331484,0.981840717599211,1024.959565846403
DOCK11,0.9139137,0.36230357480748626,0.23655913978494625,0.24411764705882352,chrX,118495815,118686163,0.981840717599211,2478.5187552580137
SPATC1L,1.0092969,0.6478130441341857,0.5913978494623656,0.5676470588235294,chr21,46161148,46184476,0.981840717599211,4431.689034921965
GPI,1.010736,0.34716707931798463,0.6602150537634408,0.675,chr19,34359480,34402413,0.981840717599211,2374.969989614333
CNOT8,1.0494059,0.6771578411522812,0.2967741935483871,0.2838235294117647,chr5,154857553,154876792,0.981840717599211,4632.436791322755
ARID2,0.86983037,0.4045195093950469,0.1935483870967742,0.19411764705882353,chr12,45729706,45908040,0.981840717599211,2767.3179637715157
PIGX,0.7837928,0.09336129715204294,0.22795698924731184,0.2676470588235294,chr3,196639775,196736007,0.981840717599211,638.6846338171258
SLC37A4,1.131601,0.8050371399428127,0.2645161290322581,0.22941176470588234,chr11,119024114,119030906,0.981840717599211,5507.259074348782
ZC3H4,0.8199015,0.39657229859039134,0.1032258064516129,0.11029411764705882,chr19,47064187,47113776,0.981840717599211,2712.951094656867
LAMTOR3,0.94730335,0.7326096471326343,0.18494623655913978,0.1588235294117647,chr4,99878336,99894428,0.981840717599211,5011.782596034352
ADAM9,0.98943144,0.5271670945136678,0.2064516129032258,0.20294117647058824,chr8,38996754,39105445,0.981840717599211,3606.3500935680017
SHCBP1,1.3511859,0.921300427153843,0.2086021505376344,0.1588235294117647,chr16,46578591,46621379,0.9838169847232638,6302.6162221594395
VASP,0.9274291,0.46765659686989036,0.546236559139785,0.5161764705882353,chr19,45506579,45526983,0.981840717599211,3199.23877918692
EMC8,0.9876673,0.442664533020445,0.21935483870967742,0.22205882352941175,chr16,85771758,85799608,0.981840717599211,3028.2680703928645
ZBTB34,1.1488632,0.7409845252218177,0.13978494623655913,0.1161764705882353,chr9,126860665,126885878,0.981840717599211,5069.075137042455
TTLL12,1.1463959,0.9315683630086831,0.3247311827956989,0.2691176470588235,chr22,43166622,43187134,0.9862562053231925,6372.859171342401
GTF2I,1.0465642,0.9158879563707522,0.6881720430107527,0.6367647058823529,chr7,74650231,74760692,0.9838169847232638,6265.589509532316
VEGFA,1.0135581,0.7306600763060291,0.7440860215053764,0.725,chr6,43770184,43786487,0.981840717599211,4998.445582009545
C5orf24,1.1864814,0.9017652037149024,0.33763440860215055,0.29411764705882354,chr5,134845680,134859735,0.9831462862204687,6168.9757586136475
LINC01029,0.8702415,0.09198721824081219,0.35913978494623655,0.40147058823529413,chr18,77970637,77993731,0.981840717599211,629.2845599853962
ARSK,0.9007679,0.43452256404863787,0.1032258064516129,0.10882352941176471,chr5,95555101,95605102,0.981840717599211,2972.568860656732
NONO,1.0108447,0.5381285600623138,0.6258064516129033,0.6102941176470589,chrX,71254814,71301522,0.981840717599211,3681.3374793862886
KDELR1,1.1127145,0.9682723076499692,0.7053763440860215,0.6397058823529411,chr19,48382575,48391551,0.991920302110975,6623.950856633439
SCFD1,1.1082189,0.8485998551761773,0.36989247311827955,0.32794117647058824,chr14,30622291,30737694,0.981840717599211,5805.271609260229
ZNF714,1.1652718,0.9224562696078851,0.33978494623655914,0.2926470588235294,chr19,21082159,21125270,0.9838169847232638,6310.523340387542
GAB3,0.8795611,0.34568976606636287,0.1827956989247312,0.19411764705882353,chrX,154675249,154751583,0.981840717599211,2364.8636896599883
MTFR1,0.8949378,0.30343689780533833,0.18924731182795698,0.20294117647058824,chr8,65644734,65771261,0.981840717599211,2075.8118178863197
BAIAP2L1,1.0523382,0.6760139593364072,0.15698924731182795,0.13823529411764707,chr7,98291650,98401090,0.981840717599211,4624.611495820362
MPI,0.8989247,0.3876567874942429,0.14838709677419354,0.15588235294117647,chr15,74890005,74902219,0.981840717599211,2651.960083248116
TSR2,1.231771,0.9256931311916797,0.21935483870967742,0.1661764705882353,chrX,54440404,54448032,0.9845563915550809,6332.666710482281
LEF1,0.768375,0.3058897839738376,0.12258064516129032,0.13676470588235295,chr4,108047545,108168956,0.981840717599211,2092.592012165023
C1orf174,0.86366415,0.3975897489712998,0.13333333333333333,0.13970588235294118,chr1,3889125,3900293,0.981840717599211,2719.9114727126616
NIPAL3,0.9551793,0.5027950180945967,0.13548387096774195,0.1338235294117647,chr1,24415802,24472976,0.981840717599211,3439.620718785136
FUOM,0.90141016,0.21067913963194607,0.3010752688172043,0.3264705882352941,chr10,133355158,133358025,0.981840717599211,1441.255994222143
HSD17B11,1.0902328,0.8382120724210097,0.43010752688172044,0.4,chr4,87336515,87391188,0.981840717599211,5734.208787432128
RXRB,0.84265405,0.3089922089482855,0.14408602150537633,0.1588235294117647,chr6,33193588,33200665,0.981840717599211,2113.815701415221
UNC50,1.1369245,0.7416909650898312,0.23440860215053763,0.2161764705882353,chr2,98608579,98618515,0.981840717599211,5073.907892179535
BROX,1.2281902,0.9835433257565585,0.35053763440860214,0.275,chr1,222712553,222735196,0.9948656583949473,6728.419891500616
PTK2B,1.2276192,0.6731634049503995,0.14193548387096774,0.12941176470588237,chr8,27311482,27459391,0.981840717599211,4605.110853265683
ANKS6,1.1658221,0.7952867857349097,0.25806451612903225,0.23088235294117648,chr9,98731329,98796965,0.981840717599211,5440.556901212518
CHMP4A,0.8944706,0.4015256987607356,0.31827956989247314,0.3191176470588235,chr14,24209615,24213830,0.981840717599211,2746.8373052221923
SUPV3L1,1.1669226,0.8770896961669074,0.3096774193548387,0.2691176470588235,chr10,69180234,69209099,0.981840717599211,6000.1706114778135
FLYWCH1,0.85752517,0.5282896512211895,0.10752688172043011,0.10294117647058823,chr16,2911931,2951208,0.981840717599211,3614.029504004158
LMO2,0.9627848,0.5078038373995053,0.2838709677419355,0.28088235294117647,chr11,33858576,33892076,0.981840717599211,3473.886051650016
SMARCA5,1.0021098,0.5770497975836371,0.567741935483871,0.5602941176470588,chr4,143513702,143557486,0.981840717599211,3947.5976652696613
MGST2,1.0876486,0.8843027049441667,0.44086021505376344,0.38823529411764707,chr4,139665768,139740745,0.981840717599211,6049.514804523044
AIDA,1.1491199,0.9210194844148372,0.38924731182795697,0.3382352941176471,chr1,222668013,222713210,0.9838169847232638,6300.694292881901
TRMT1,0.91164315,0.32081996788117484,0.13548387096774195,0.1514705882352941,chr19,13104902,13117567,0.981840717599211,2194.729400275117
PEA15,0.83837104,0.2732603279857775,0.12903225806451613,0.15,chr1,160205380,160215376,0.981840717599211,1869.3739037507037
F11-AS1,1.0321095,0.5342243883654407,0.1053763440860215,0.10294117647058823,chr4,186286094,186500997,0.981840717599211,3654.62904080798
HTRA2,0.7908029,0.16205566937058685,0.1935483870967742,0.22205882352941175,chr2,74529725,74533332,0.981840717599211,1108.6228341641847
ATP7A,0.9967068,0.7165394404199348,0.21505376344086022,0.18970588235294117,chrX,77910656,78050395,0.981840717599211,4901.846311912774
FAM193B,1.3274866,0.8768118165287574,0.14623655913978495,0.10588235294117647,chr5,177519789,177554563,0.981840717599211,5998.2696368732295
CNIH4,1.0029185,0.7410728848161461,0.7741935483870968,0.7176470588235294,chr1,224356858,224379459,0.981840717599211,5069.679605027255
UBFD1,1.0030174,0.5017060587628338,0.24946236559139784,0.24558823529411763,chr16,23557721,23574389,0.981840717599211,3432.171147996546
ACAT1,1.0165384,0.7380895605452178,0.567741935483871,0.5220588235294118,chr11,108116695,108147603,0.981840717599211,5049.270683689835
ATP5PO,0.95633274,0.07966596697205747,0.9913978494623656,0.986764705882353,chr21,33903453,33915814,0.981840717599211,544.9948800558451
CIB2,1.3388505,0.9127691280970844,0.2,0.15,chr15,78104606,78131535,0.9838169847232638,6244.253605312155
DCTD,0.81440187,0.09186714002920271,0.2989247311827957,0.3323529411764706,chr4,182890060,182917936,0.981840717599211,628.4631049397757
EIF2B4,0.9446813,0.39825673281690854,0.17849462365591398,0.18529411764705883,chr2,27364352,27370457,0.981840717599211,2724.4743092004715
NME7,1.1529101,0.768471915057109,0.18494623655913978,0.1588235294117647,chr1,169132531,169367948,0.981840717599211,5257.116370905683
ATP1B3,0.89315367,0.05308110220291958,0.6430107526881721,0.6779411764705883,chr3,141876124,141926549,0.981840717599211,363.12782017017287
LPIN2,1.0682806,0.8034025705007759,0.3247311827956989,0.2897058823529412,chr18,2916994,3013144,0.981840717599211,5496.076984795808
AK4,0.9737672,0.4191425146018499,0.22580645161290322,0.23529411764705882,chr1,65147549,65232145,0.981840717599211,2867.3539423912553
TMEM186,1.2433174,0.8119343406475878,0.15698924731182795,0.1264705882352941,chr16,8780384,8797642,0.981840717599211,5554.442824370149
SSR3,0.9696197,0.17931340209334995,0.896774193548387,0.8955882352941177,chr3,156539553,156555149,0.981840717599211,1226.682983720607
RPS20,0.97849435,0.1804350526573245,1.0,1.0,chr8,56067254,56074510,0.981840717599211,1234.356195228757
PAK1IP1,1.0192047,0.6453441435400735,0.33763440860215055,0.3176470588235294,chr6,10694972,10709782,0.981840717599211,4414.799285957643
FURIN,1.070815,0.7155835345307824,0.23225806451612904,0.21176470588235294,chr15,90868588,90883564,0.981840717599211,4895.306959725082
SPAG5,1.1524317,0.9654713650274047,0.38064516129032255,0.31029411764705883,chr17,28577565,28599025,0.9916210765441835,6604.789608152476
BRCC3,1.0063796,0.5665872621217235,0.16989247311827957,0.16176470588235295,chrX,155071420,155123077,0.981840717599211,3876.0234601747106
PRPF4,1.0747259,0.5236169895215869,0.18064516129032257,0.17941176470588235,chr9,113275642,113294009,0.981840717599211,3582.0638253171755
STK24,0.95331097,0.4279430604943495,0.26021505376344084,0.2647058823529412,chr13,98445185,98577940,0.981840717599211,2927.558476841845
ACOT7,1.0319448,0.7255580627625481,0.25591397849462366,0.22794117647058823,chr1,6264269,6393767,0.981840717599211,4963.5427073585915
NRIP3,1.02152,0.5756957812996855,0.15268817204301074,0.14558823529411766,chr11,8980576,9004049,0.981840717599211,3938.3348398711482
CHPT1,1.029957,0.6033926285913781,0.5505376344086022,0.5514705882352942,chr12,101696947,101744140,0.981840717599211,4127.808972193618
MAPK3,0.7952701,0.24393589492958145,0.18494623655913978,0.20147058823529412,chr16,30114105,30123506,0.981840717599211,1668.7654572132667
PSMA1,1.0084151,0.6808719768922886,0.9204301075268817,0.913235294117647,chr11,14504874,14643635,0.981840717599211,4657.845193920147
ZNF148,0.8501467,0.453533647214515,0.1827956989247312,0.17794117647058824,chr3,125225669,125375325,0.981840717599211,3102.6236805944973
USP32,1.1764545,0.7662754034046945,0.23870967741935484,0.21911764705882353,chr17,60177327,60422470,0.981840717599211,5242.090034691515
FCF1,1.1242284,0.8810063054160362,0.18064516129032257,0.13529411764705881,chr14,74713144,74738620,0.981840717599211,6026.964135351103
MDM4,0.97446436,0.2281312207885584,0.5526881720430108,0.5808823529411765,chr1,204516379,204558120,0.981840717599211,1560.645681414528
PRDX1,0.96611273,0.17682346733740884,0.9806451612903225,0.9794117647058823,chr1,45510914,45542732,0.981840717599211,1209.6493400552138
RASSF1,1.0595076,0.6384807795883373,0.1870967741935484,0.17352941176470588,chr3,50329782,50340980,0.981840717599211,4367.847013163815
F12,0.82230633,0.2712664401085453,0.1935483870967742,0.2088235294117647,chr5,177402141,177409564,0.981840717599211,1855.7337167825583
HCG11,1.1585128,0.9460273161261243,0.34838709677419355,0.27647058823529413,chr6,26521709,26527404,0.9872768264285571,6471.772869618817
SENP1,1.0411767,0.6584608843318949,0.18924731182795698,0.17352941176470588,chr12,48042897,48106079,0.981840717599211,4504.530909714493
EHD2,0.8707307,0.39499489198419246,0.17634408602150536,0.18088235294117647,chr19,47713422,47743134,0.981840717599211,2702.160056063861
MRPS24,1.0094558,0.7358331175325006,0.8043010752688172,0.7676470588235295,chr7,43866558,43869893,0.981840717599211,5033.8343570398365
SNCG,1.0331111,0.8878983330561456,0.6021505376344086,0.55,chr10,86958599,86963258,0.981840717599211,6074.112496437092
TALDO1,1.0634878,0.9856355256166218,0.967741935483871,0.9470588235294117,chr11,747415,765012,0.9948656583949473,6742.7326307433095
MIER1,1.0394781,0.5540644947734313,0.3053763440860215,0.3,chr1,66924895,66988619,0.981840717599211,3790.355208745044
TAF13,0.8796021,0.2783376685640844,0.21935483870967742,0.23529411764705882,chr1,109062486,109076003,0.981840717599211,1904.1079906469013
SGF29,0.9241453,0.4732675019924366,0.1010752688172043,0.10294117647058823,chr16,28553915,28591790,0.981840717599211,3237.6229811302587
EIF2AK2,1.2428437,0.9134312860904004,0.2623655913978495,0.21323529411764705,chr2,37099210,37157522,0.9838169847232638,6248.783428144429
LRRC47,1.2917353,0.888331298671423,0.2537634408602151,0.2161764705882353,chr1,3778559,3796498,0.981840717599211,6077.074414211205
NDUFA12,0.9873156,0.43026515170841445,0.8559139784946237,0.8544117647058823,chr12,94895297,95003748,0.981840717599211,2943.443902837263
RBM8A,0.9787168,0.20955118663454259,0.821505376344086,0.8338235294117647,chr1,145917714,145927678,0.981840717599211,1433.5396677669057
PHIP,1.2152573,0.9892323356143284,0.4774193548387097,0.4161764705882353,chr6,78934419,79078254,0.9953431986965172,6767.338407937621
TM9SF4,0.9154729,0.41101918831413725,0.17204301075268819,0.17941176470588235,chr20,32109714,32167258,0.981840717599211,2811.782267257013
GOLGA7,0.9965007,0.5604948945834896,0.34408602150537637,0.3426470588235294,chr8,41490396,41510980,0.981840717599211,3834.345573845652
RTCA,0.99210066,0.6193641398549385,0.43655913978494626,0.4161764705882353,chr1,100266216,100292769,0.981840717599211,4237.070080747634
PRPF31,0.9616259,0.38008138985767825,0.3010752688172043,0.3073529411764706,chr19,54115410,54131719,0.981840717599211,2600.136788016377
C18orf32,1.1252819,0.6957039995961898,0.2731182795698925,0.26029411764705884,chr18,49477243,49487252,0.981840717599211,4759.311061237534
SLC18B1,0.9286961,0.34999384690597524,0.18064516129032257,0.19411764705882353,chr6,132769370,132813339,0.981840717599211,2394.3079066837768
ITGAE,0.827897,0.13889151888644297,0.23440860215053763,0.2661764705882353,chr17,3714628,3801188,0.981840717599211,950.1568807021563
DNAJC21,1.108994,0.9575769539673816,0.6279569892473118,0.5735294117647058,chr5,34929559,34958964,0.9896123459087753,6550.783942090858
RAB22A,1.0664597,0.6000569348797089,0.16344086021505377,0.15441176470588236,chr20,58309715,58367507,0.981840717599211,4104.9894915120885
EIF1B,0.9360073,0.20216548658484068,0.8172043010752689,0.8205882352941176,chr3,40309707,40312424,0.981840717599211,1383.014093726895
HDGFL3,0.71972036,0.05850336309503142,0.14838709677419354,0.20294117647058824,chr15,83112738,83207823,0.981840717599211,400.22150693310994
SEPHS1,1.1364187,0.7705189262723987,0.2064516129032258,0.18088235294117647,chr10,13317428,13348298,0.981840717599211,5271.11997462948
POC1A,1.1961277,0.8465629079027184,0.15913978494623657,0.12205882352941176,chr3,52075226,52154690,0.981840717599211,5791.336852962497
GTF2H1,1.0134313,0.531076946026058,0.2838709677419355,0.27794117647058825,chr11,18322295,18367045,0.981840717599211,3633.097387764263
TBRG1,0.9925776,0.6314010177395692,0.21505376344086022,0.19852941176470587,chr11,124622836,124635926,0.981840717599211,4319.414362356393
C4orf46,0.9432074,0.5006170867192486,0.21505376344086022,0.21029411764705883,chr4,158666675,158672255,0.981840717599211,3424.72149024638
PRSS21,0.9248035,0.39079694569078977,0.3741935483870968,0.38235294117647056,chr16,2817180,2826304,0.981840717599211,2673.4419054706927
SPSB3,0.89375174,0.43266121780905165,0.12903225806451613,0.1323529411764706,chr16,1776712,1793700,0.981840717599211,2959.8353910317223
ASF1A,1.0072453,0.6177339687946927,0.410752688172043,0.39558823529411763,chr6,118894152,118909171,0.981840717599211,4225.918080524492
TAPT1,1.1784321,0.7966016286820385,0.14838709677419354,0.11764705882352941,chr4,16160505,16227410,0.981840717599211,5449.551741813826
